fen,eval
3r1bnr/p1k1p1p1/5p2/2ppn2p/1pQ1P2N/1P1P2BP/PP2BP1P/R3KNR1 w Q - 0 15,10.1600
3r1bnr/p1k1p1p1/5p2/2ppn2p/1p2P2N/1P1P2BP/PP2BP1P/R1Q1KNR1 b Q - 1 15,9.5500
3r1bnr/2k1p1p1/5p2/p1ppn2p/1p2P2N/1P1P2BP/PP2BP1P/R1Q1KNR1 w Q - 0 16,10.2800
3r1bnr/2k1p1p1/5p2/p1ppn2B/1p2P2N/1P1P2BP/PP3P1P/R1Q1KNR1 b Q - 0 16,8.4900
3r1bnr/1k2p1p1/5p2/p1ppn2B/1p2P2N/1P1P2BP/PP3P1P/R1Q1KNR1 w Q - 1 17,7.9900
3r1bnr/1k2p1p1/5p2/p1Qpn2B/1p2P2N/1P1P2BP/PP3P1P/R3KNR1 b Q - 0 17,3.8700
1r3bnr/1k2p1p1/5p2/p1Qpn2B/1p2P2N/1P1P2BP/PP3P1P/R3KNR1 w Q - 1 18,9.8000
1r3bnr/1k2p1p1/5p2/p1Qpn2B/1p2P2N/PP1P2BP/1P3P1P/R3KNR1 b Q - 0 18,4.7800
1r3bnr/1k2p1p1/5p2/p1Qp3B/1p2P1nN/PP1P2BP/1P3P1P/R3KNR1 w Q - 1 19,13.5100
1r3bnr/1k2p1p1/5p2/p2p3B/1p2P1nN/PPQP2BP/1P3P1P/R3KNR1 b Q - 2 19,6.1800
2r2bnr/1k2p1p1/5p2/p2p3B/1p2P1nN/PPQP2BP/1P3P1P/R3KNR1 w Q - 3 20,9.7100
2r2bnr/1k2p1p1/5p2/p2p3B/1pQ1P1nN/PP1P2BP/1P3P1P/R3KNR1 b Q - 4 20,8.1100
r4bnr/1k2p1p1/5p2/p2p3B/1pQ1P1nN/PP1P2BP/1P3P1P/R3KNR1 w Q - 5 21,10.0000
r3Bbnr/1k2p1p1/5p2/p2p4/1pQ1P1nN/PP1P2BP/1P3P1P/R3KNR1 b Q - 6 21,5.9500
r3Bbnr/1k2p3/5p2/p2p2p1/1pQ1P1nN/PP1P2BP/1P3P1P/R3KNR1 w Q - 0 22,10.7500
r3Bbnr/1k2p3/5p2/p2p2p1/1p2P1nN/PP1P2BP/1P3P1P/R1Q1KNR1 b Q - 1 22,8.2100
r3Bbnr/1k6/5p2/p2pp1p1/1p2P1nN/PP1P2BP/1P3P1P/R1Q1KNR1 w Q - 0 23,9.6100
r3Bbnr/1k6/5p2/p2pp1p1/1p2P1nN/PPQP2BP/1P3P1P/R3KNR1 b Q - 1 23,2.5100
r3B1nr/1k6/3b1p2/p2pp1p1/1p2P1nN/PPQP2BP/1P3P1P/R3KNR1 w Q - 2 24,10.5000
r3B1nr/1k6/3b1p2/p2pp1p1/1pQ1P1nN/PP1P2BP/1P3P1P/R3KNR1 b Q - 3 24,4.9200
r3B1n1/1k6/3b1p2/p2pp1p1/1pQ1P1nr/PP1P2BP/1P3P1P/R3KNR1 w Q - 0 25,9.3400
r3B1n1/1k6/3b1p2/pQ1pp1p1/1p2P1nr/PP1P2BP/1P3P1P/R3KNR1 b Q - 1 25,9.7700
r3B1n1/k7/3b1p2/pQ1pp1p1/1p2P1nr/PP1P2BP/1P3P1P/R3KNR1 w Q - 2 26,9.9100
r3B1n1/k7/3b1p2/pQ1pp1p1/1p2P1nr/PP1P2BP/1P3P1P/R2K1NR1 b - - 3 26,7.7300
